date,number,place,yellowdust(O/X),avgdust,avgwindsp(m/s),maxwinsp(m/s),maxwinspdir(deg),maxdir(deg),minview(10m),atmosdiff:+03h,:+06h,:+09h,:+12h,:+15h,:+18h,:+21h,:+24h
2019-05-02,169,Heuksando,O,80,3.9,6.7,320,320,926,high,high,high,high,high,high,high,high
2019-05-02,177,Hongseong,O,,2.1,4.4,230,180,538,high,high,high,normal,normal,low,normal,normal
2019-05-02,184,Jeju,O,,3.2,5.2,270,250,937,high,high,high,high,high,high,high,high
2019-05-02,189,Seoguipo,O,,1.4,3.1,200,160,1282,high,high,high,normal,high,high,high,high
2019-10-28,93,BukChucheon,X,31,1,3.7,230,200,300,normal,high,high,veryhigh,veryhigh,veryhigh,high,high
2019-10-28,102,BackRyeongdo,O,68,5.6,10,200,200,356,high,high,high,high,veryhigh,veryhigh,high,high
2019-10-28,104,Bukkangreung,X,,2,4,180,160,1932,high,normal,normal,high,high,high,high,high
2019-10-28,108,Seoul,X,31,2.5,4.7,230,200,586,low,veryhigh,veryhigh,high,high,veryhigh,high,high
2019-10-28,112,Incheon,X,,3.7,7.2,270,160,738,high,veryhigh,high,high,high,veryhigh,high,high
2019-10-28,115,Ulreungdo,X,18,2.8,7.6,230,180,2000,high,high,veryhigh,veryhigh,veryhigh,high,veryhigh,high
2019-10-28,119,Suwon,X,37,2,4.5,230,110,560,normal,high,veryhigh,high,high,high,high,high
2019-10-28,131,Chungju,X,,1.1,3.8,250,180,530,normal,high,high,high,high,high,high,high
2019-10-28,133,Daejeon,X,,1.1,3.2,110,140,750,normal,high,high,veryhigh,high,high,veryhigh,high
2019-10-28,136,Ahndong,X,27,0.7,2.7,270,290,20,normal,normal,high,high,high,high,high,veryhigh
2019-10-28,138,Pohang,X,,2.5,4.1,230,250,1746,high,high,high,high,high,high,high,high
2019-10-28,143,Daegu,X,26,0.7,2.8,320,110,968,normal,normal,high,normal,high,high,high,high
2019-10-28,146,Jeonju,X,25,1.6,3.8,230,140,1691,low,high,high,high,high,high,high,low
2019-10-28,152,Ulsan,X,19,1.5,4.5,200,200,1483,normal,high,high,high,normal,normal,high,high
2019-10-28,155,Changwon,X,,1.4,3.5,140,360,1787,normal,normal,high,high,high,high,high,high
2019-10-28,156,Kwangju,X,24,1.2,2.9,230,250,1215,normal,normal,high,high,high,high,normal,normal
2019-10-28,159,Busan,X,,3.2,6.2,230,270,1581,high,high,high,high,high,high,high,high
2019-10-28,165,Mokpo,X,,2.4,5.1,200,180,1295,normal,high,high,high,high,high,high,normal
2019-10-28,168,Yeosu,X,,2.6,6.1,200,50,2000,high,high,high,high,high,high,high,high
2019-10-28,169,Heuksando,X,17,4.3,8,180,180,1500,high,high,high,high,high,high,high,high
2019-10-28,177,Hongseong,X,,1.4,4.9,230,200,351,low,high,high,high,high,high,high,high
2019-10-28,184,Jeju,X,,2,3.5,180,180,1920,normal,normal,high,high,high,high,high,high
2019-10-28,189,Seoguipo,X,,1.1,2.3,180,360,2000,normal,high,high,high,high,high,high,high
2019-10-29,93,BukChucheon,X,66,1.3,5.4,230,250,150,high,veryhigh,high,high,high,high,high,normal
2019-10-29,102,BackRyeongdo,O,74,4.4,7.2,320,320,1517,high,high,high,high,high,high,veryhigh,high
2019-10-29,104,Bukkangreung,X,,1.9,4.6,270,180,1460,high,veryhigh,veryhigh,high,high,high,normal,normal
2019-10-29,108,Seoul,X,51,2.3,5.2,290,270,403,normal,high,high,high,normal,low,low,normal
2019-10-29,112,Incheon,O,,3.4,6.2,340,320,691,high,high,high,high,high,high,normal,normal
2019-10-29,115,Ulreungdo,O,70,4.1,8.8,230,230,1178,high,high,high,high,high,high,high,high
2019-10-29,119,Suwon,X,37,1.9,5.5,290,270,18,normal,high,high,high,high,normal,normal,low
2019-10-29,131,Chungju,O,,1.2,2.9,250,290,296,high,veryhigh,high,high,normal,low,normal,normal
2019-10-29,133,Daejeon,X,,1.6,3.7,110,230,140,high,high,high,high,high,low,normal,normal
2019-10-29,136,Ahndong,O,68,1.6,5,270,290,621,high,veryhigh,veryhigh,veryhigh,high,high,high,high
2019-10-29,138,Pohang,O,,2.4,4.5,230,230,1129,high,veryhigh,veryhigh,high,high,high,high,high
2019-10-29,143,Daegu,O,73,1.8,4.2,320,270,786,high,high,high,high,high,high,normal,normal
2019-10-29,146,Jeonju,X,40,2,4.6,250,250,864,normal,high,high,normal,high,low,normal,normal
2019-10-29,152,Ulsan,O,42,1.5,4.6,250,340,1194,high,veryhigh,high,high,high,normal,normal,normal
2019-10-29,155,Changwon,O,,1,2.6,270,250,838,high,high,high,high,normal,normal,normal,normal
2019-10-29,156,Kwangju,O,56,1.1,4.7,250,270,738,normal,high,high,high,high,high,normal,normal
2019-10-29,159,Busan,O,,3.1,5.9,270,250,989,high,high,high,high,high,high,high,high
2019-10-29,165,Mokpo,X,,4.4,8,340,340,755,high,high,high,high,high,high,high,high
2019-10-29,168,Yeosu,O,,3.7,9.6,270,270,857,high,veryhigh,high,high,high,high,high,high
2019-10-29,169,Heuksando,O,76,5.4,7.7,360,360,800,high,high,high,high,high,high,high,high
2019-10-29,177,Hongseong,O,,1.8,4.1,290,160,62,low,high,high,high,normal,low,normal,normal
2019-10-29,184,Jeju,O,,3.1,5,320,290,936,normal,high,high,high,high,normal,high,high
2019-10-29,189,Seoguipo,O,,1.4,4.6,270,360,832,high,high,high,high,high,high,normal,normal
2019-10-31,93,BukChucheon,O,67,1.2,5.2,200,20,40,high,high,high,veryhigh,high,high,normal,high
2019-10-31,102,BackRyeongdo,O,184,4.6,7,250,230,297,normal,normal,normal,high,high,normal,high,high
2019-10-31,104,Bukkangreung,O,,1.8,4,230,160,1029,normal,high,high,high,high,high,high,high
2019-10-31,108,Seoul,O,52,2.3,5.2,230,230,385,normal,high,veryhigh,high,normal,normal,high,normal
2019-10-31,112,Incheon,O,,3.4,5.1,230,180,379,high,high,high,high,high,high,high,normal
2019-10-31,115,Ulreungdo,O,33,5,10.5,270,230,1810,high,high,high,high,high,high,high,high
2019-10-31,119,Suwon,X,48,1.8,4.2,250,140,771,high,high,high,high,high,normal,normal,low
2019-10-31,131,Chungju,X,,0.9,3,250,250,616,low,high,high,normal,low,normal,high,high
2019-10-31,133,Daejeon,X,,0.9,2.9,140,140,665,low,high,high,normal,low,low,normal,high
2019-10-31,136,Ahndong,X,44,1.1,3.7,270,270,559,high,high,high,high,high,high,high,high
2019-10-31,138,Pohang,X,,3,5.8,250,230,1911,high,high,high,normal,normal,normal,normal,high
2019-10-31,143,Daegu,X,45,1.6,4.1,270,270,843,normal,normal,high,normal,normal,normal,high,high
2019-10-31,146,Jeonju,X,38,1.7,3,320,140,1305,low,high,high,normal,normal,low,low,normal
2019-10-31,152,Ulsan,X,21,1.9,3.3,320,320,1863,normal,high,high,normal,normal,normal,normal,normal
2019-10-31,155,Changwon,X,,1.1,4.4,20,20,1846,normal,normal,normal,normal,normal,normal,normal,normal
2019-10-31,156,Kwangju,X,-,0.6,2.4,250,200,887,normal,normal,high,normal,normal,normal,normal,normal
2019-10-31,159,Busan,X,,3.3,5.2,290,270,1928,high,high,high,normal,high,high,high,normal
2019-10-31,165,Mokpo,X,,2.2,4.9,340,180,613,high,high,high,high,high,high,high,high
2019-10-31,168,Yeosu,X,,3.3,7.2,290,270,1631,normal,high,high,high,high,high,high,high
2019-10-31,169,Heuksando,O,91,2,3.6,250,250,1120,high,normal,normal,normal,normal,normal,normal,normal
2019-10-31,177,Hongseong,X,,1.6,4.7,230,180,519,normal,high,high,high,normal,low,low,normal
2019-10-31,184,Jeju,X,,2.4,3.8,320,160,1403,normal,high,normal,normal,normal,normal,normal,high
2019-10-31,189,Seoguipo,X,,1.3,2.3,180,360,2000,normal,normal,normal,normal,normal,normal,high,normal
2019-11-01,93,BukChucheon,O,94,0.6,1.9,160,160,10,normal,normal,normal,normal,normal,normal,normal,normal
2019-11-01,102,BackRyeongdo,O,38,5.5,8.7,340,360,205,high,high,high,high,high,high,high,high
2019-11-01,104,Bukkangreung,O,,1.6,4.3,360,180,1005,high,high,high,normal,normal,normal,high,high
2019-11-01,108,Seoul,O,-,1.8,3.9,320,290,179,normal,normal,normal,normal,normal,normal,normal,normal
2019-11-01,112,Incheon,O,,2.5,5.1,340,340,239,high,high,high,normal,high,normal,normal,normal
2019-11-01,115,Ulreungdo,O,63,3.9,10.7,270,20,1010,high,high,high,high,high,high,high,high
2019-11-01,119,Suwon,O,60,1.3,3.2,290,290,14,high,high,high,normal,normal,normal,normal,normal
2019-11-01,131,Chungju,X,,0.7,2.1,270,290,90,normal,high,high,normal,normal,normal,normal,normal
2019-11-01,133,Daejeon,X,,0.7,2.3,250,270,189,high,high,high,normal,normal,normal,normal,normal
2019-11-01,136,Ahndong,O,89,0.6,2.5,140,110,420,normal,normal,normal,normal,normal,normal,normal,normal
2019-11-01,138,Pohang,X,,2.1,4.5,50,250,816,high,high,high,normal,normal,high,high,normal
2019-11-01,143,Daegu,O,93,1.5,3.8,110,270,505,high,normal,normal,normal,normal,normal,normal,normal
2019-11-01,146,Jeonju,O,75,1.4,3.1,270,140,732,normal,high,high,normal,low,normal,normal,normal
2019-11-01,152,Ulsan,O,52,1.8,4.2,90,340,916,high,high,high,normal,normal,normal,normal,normal
2019-11-01,155,Changwon,O,,1.3,5.4,50,50,708,low,high,normal,low,normal,normal,normal,high
2019-11-01,156,Kwangju,O,103,0.7,2.6,50,50,675,normal,normal,high,low,normal,normal,normal,normal
2019-11-01,159,Busan,O,,2.4,4.3,340,50,1040,normal,high,normal,normal,normal,normal,normal,normal
2019-11-01,165,Mokpo,O,,2.4,6.5,360,180,116,normal,high,high,high,high,high,normal,normal
2019-11-01,168,Yeosu,O,,2.3,7.3,290,50,627,high,high,normal,normal,normal,normal,high,high
2019-11-01,169,Heuksando,O,151,4.3,7.8,360,360,800,normal,high,normal,high,high,high,high,high
2019-11-01,177,Hongseong,O,,1,3.3,20,360,5,normal,high,high,low,normal,normal,normal,normal
2019-11-01,184,Jeju,O,,2.3,3.6,200,180,699,low,high,high,normal,high,normal,normal,normal
2019-11-01,189,Seoguipo,O,,1.5,2.8,230,360,1149,normal,normal,normal,normal,normal,normal,high,normal
2019-11-18,93,BukChucheon,O,81,2.9,6.3,250,250,300,veryhigh,high,high,high,high,veryhigh,veryhigh,veryhigh
2019-11-18,102,BackRyeongdo,O,104,9.9,17.1,340,320,723,veryhigh,veryhigh,veryhigh,veryhigh,veryhigh,veryhigh,veryhigh,veryhigh
2019-11-18,104,Bukkangreung,X,,1.9,5.1,270,270,424,high,high,high,high,high,veryhigh,veryhigh,high
2019-11-18,108,Seoul,O,63,3.9,7,270,270,211,high,veryhigh,veryhigh,veryhigh,high,high,high,high
2019-11-18,112,Incheon,O,,5.5,11,340,340,603,high,veryhigh,veryhigh,veryhigh,veryhigh,veryhigh,high,high
2019-11-18,115,Ulreungdo,X,38,4.7,10,200,200,51,veryhigh,veryhigh,veryhigh,high,high,veryhigh,veryhigh,veryhigh
2019-11-18,119,Suwon,O,37,4,7.5,290,290,244,high,veryhigh,veryhigh,high,high,veryhigh,veryhigh,high
2019-11-18,131,Chungju,O,,2.1,4,290,290,110,high,veryhigh,high,high,high,high,high,high
2019-11-18,133,Daejeon,O,,2.2,4.9,270,250,29,high,veryhigh,high,high,high,high,high,high
2019-11-18,136,Ahndong,O,58,3.5,6.3,290,290,60,high,high,high,high,high,veryhigh,veryhigh,veryhigh
2019-11-18,138,Pohang,X,,4.4,10,250,250,590,high,high,high,high,high,high,high,high
2019-11-18,143,Daegu,O,56,4.8,8.2,290,290,1182,veryhigh,high,high,high,veryhigh,veryhigh,veryhigh,veryhigh
2019-11-18,146,Jeonju,O,45,2.8,5.5,270,270,185,high,high,veryhigh,high,high,high,high,high
2019-11-18,152,Ulsan,X,28,3,4.9,320,320,264,high,high,high,high,high,veryhigh,veryhigh,veryhigh
2019-11-18,155,Changwon,X,,2.6,6.3,160,270,165,high,high,high,high,high,high,veryhigh,veryhigh
2019-11-18,156,Kwangju,O,68,2,5.7,200,20,773,high,high,high,high,high,high,high,high
2019-11-18,159,Busan,X,,4.9,15.8,250,290,409,high,high,high,high,high,high,veryhigh,veryhigh
2019-11-18,165,Mokpo,O,,7.6,10.8,360,340,309,high,high,veryhigh,veryhigh,veryhigh,veryhigh,veryhigh,veryhigh
2019-11-18,168,Yeosu,O,,7.7,13.8,200,290,211,high,high,high,veryhigh,veryhigh,high,veryhigh,veryhigh
2019-11-18,169,Heuksando,O,70,10.9,17.5,360,340,1100,high,veryhigh,veryhigh,veryhigh,veryhigh,veryhigh,veryhigh,veryhigh
2019-11-18,177,Hongseong,O,,2.7,6.5,270,270,1100,veryhigh,high,veryhigh,high,high,high,high,high
2019-11-18,184,Jeju,O,,5.5,9.5,320,320,450,high,high,high,veryhigh,veryhigh,veryhigh,veryhigh,veryhigh
2019-11-18,189,Seoguipo,O,,2.3,7.9,230,290,641,high,high,high,high,high,high,veryhigh,veryhigh
2020-02-22,93,BukChucheon,O,51,2.7,8.6,250,250,300,veryhigh,high,high,veryhigh,high,high,high,high
2020-02-22,102,BackRyeongdo,O,78,7.3,11,320,320,269,high,veryhigh,veryhigh,veryhigh,veryhigh,veryhigh,veryhigh,high
2020-02-22,104,Bukkangreung,X,,4.2,8.9,250,270,1166,high,veryhigh,veryhigh,high,high,high,high,high
2020-02-22,108,Seoul,O,75,4,8.2,320,270,222,high,veryhigh,veryhigh,veryhigh,high,high,high,high
2020-02-22,112,Incheon,O,,5.6,9.9,290,320,165,high,high,high,high,high,veryhigh,high,high
2020-02-22,115,Ulreungdo,X,38,4.8,8.9,230,230,4,veryhigh,veryhigh,veryhigh,veryhigh,veryhigh,veryhigh,veryhigh,veryhigh
2020-02-22,119,Suwon,O,61,4.7,8.4,290,270,427,high,veryhigh,veryhigh,high,high,high,high,high
2020-02-22,131,Chungju,O,,2.7,5.9,290,290,212,high,veryhigh,veryhigh,high,high,high,high,high
